countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
GTM,Guatemala,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.5,
GUY,Guyana,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.439,
HND,Honduras,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.445,
HRV,Croatia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.118,
HTI,Haiti,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.625,
HUN,Hungary,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.237,
IDN,Indonesia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.436,
IND,India,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.464,
IRL,Ireland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.076,
IRN,Iran (Islamic Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.463,
IRQ,Iraq,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.571,
ISL,Iceland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.045,
ISR,Israel,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.094,
ITA,Italy,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.052,
JAM,Jamaica,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.385,
JOR,Jordan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.439,
JPN,Japan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.082,
KAZ,Kazakhstan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.192,
KEN,Kenya,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.535,
KGZ,Kyrgyzstan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.362,
KHM,Cambodia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.496,
KOR,Korea (Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.051,
KWT,Kuwait,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.202,
LAO,Lao People's Democratic Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.478,
LBN,Lebanon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.384,
LBR,Liberia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.65,
LBY,Libya,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.264,
LCA,Saint Lucia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.338,
LKA,Sri Lanka,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.367,
LSO,Lesotho,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.56,
LTU,Lithuania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.121,
LUX,Luxembourg,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.062,
LVA,Latvia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.164,
MAR,Morocco,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.448,
MDA,Moldova (Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.183,
MDV,Maldives,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.325,
MEX,Mexico,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.366,
MKD,North Macedonia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.14,
MLI,Mali,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.671,
MLT,Malta,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.161,
MMR,Myanmar,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.5,
MNE,Montenegro,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.113,
MNG,Mongolia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.311,
MOZ,Mozambique,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.491,
MRT,Mauritania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.612,
MUS,Mauritius,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.325,
MWI,Malawi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.577,
MYS,Malaysia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.193,
NAM,Namibia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.456,
NER,Niger,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.625,
NGA,Nigeria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.69,
NIC,Nicaragua,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.421,
NLD,Netherlands,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.027,
NOR,Norway,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.014,
NPL,Nepal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.503,
NZL,New Zealand,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.097,
OMN,Oman,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.242,
PAK,Pakistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.555,
PAN,Panama,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.392,
PER,Peru,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.367,
PHL,Philippines,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.371,
PNG,Papua New Guinea,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.816,
POL,Poland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.108,
PRT,Portugal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.077,
PRY,Paraguay,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.436,
QAT,Qatar,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.162,
ROU,Romania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.228,
RUS,Russian Federation,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.16,
RWA,Rwanda,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.408,
SAU,Saudi Arabia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.283,
SDN,Sudan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.589,
SEN,Senegal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.506,
SGP,Singapore,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.047,
SLB,Solomon Islands,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.525,
SLE,Sierra Leone,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.612,
SLV,El Salvador,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.358,
SRB,Serbia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.118,
STP,Sao Tome and Principe,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.497,
SUR,Suriname,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.4,
SVK,Slovakia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.193,
SVN,Slovenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.069,
SWE,Sweden,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.022,
SWZ,Eswatini (Kingdom of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.526,
SYR,Syrian Arab Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.49,
TCD,Chad,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.7,
TGO,Togo,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.585,
THA,Thailand,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.31,
TJK,Tajikistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.292,
TLS,Timor-Leste,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.409,
TON,Tonga,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.45,
TTO,Trinidad and Tobago,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.267,
TUN,Tunisia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.253,
TUR,Türkiye,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.27,
TZA,Tanzania (United Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.516,
UGA,Uganda,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.528,
URY,Uruguay,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.256,
USA,United States,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.191,
UZB,Uzbekistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.269,
VEN,Venezuela (Bolivarian Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.487,
VNM,Viet Nam,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.318,
VUT,Vanuatu,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.797,
WSM,Samoa,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.438,
YEM,Yemen,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.809,
ZAF,South Africa,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.395,
ZMB,Zambia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.521,
ZWE,Zimbabwe,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.525,
ZZA.VHHD,Very High Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.141,
ZZB.HHD,High Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.335,
ZZC.MHD,Medium Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.543,
ZZD.LHD,Low Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.582,
ZZE.AS,Arab States,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.541,
ZZF.EAP,East Asia And The Pacific,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.318,
ZZG.ECA,Europe And Central Asia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.232,
ZZH.LAC,Latin America And The Caribbean,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.39,
ZZI.SA,South Asia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.5,
ZZJ.SSA,Sub-Saharan Africa,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.575,
ZZK.WORLD,World,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.464,
